序号,课程名称,时长
1,财务分析与决策,9.618055555555555
2,数字集成电路分析与设计,13.55
3,信号与系统分析,19.233611111111113
4,智能车制作：嵌入式系统,9.134166666666665
5,工程财务管理,7.351388888888889
6,创业导引——与创业名家面对面,11.716666666666667
7,组织与人力资源管理,8.533333333333333
8,技术创新管理,2.968055555555556
9,人力资源管理,7.133888888888889
10,公司金融学,5.2347222222222225
11,创业成功第一步,2.501388888888889
12,创新创业基础,1.2838888888888889
13,走进心理学,7.650555555555556
14,知识产权法律及实务,8.751111111111111
15,职业与创业胜任力,4.566666666666666
16,经济学原理（微观部分）,12.384722222222221
17,创业人力资源管理,1.3177777777777777
18,营销：人人都需要的一门课,3.4833333333333334
19,国际金融学,12.733333333333333
20,身边的营养学,2.216666666666667
21,企业经营模拟,6.801111111111111
22,组织行为学——如何有效管理员工行为,14.468055555555555
23,质量管理,7.0505555555555555
24,管理沟通,5.617222222222223
25,内部控制与风险管理,17.284444444444446
26,财务分析与估值,5.134722222222223
27,员工关系管理,7.25
28,现代物流与供应链管理,3.2841666666666667
29,项目采购与合同管理,5.768055555555556
30,国际商务,7.2347222222222225
31,沟通心理学,5.284166666666667
32,知识产权法,11.500277777777777
33,管理会计学,7.501388888888889
34,管理咨询,8.767777777777779
35,组织行为学如何有效管理员工行为,14.468055555555555
36,管理思想史,3.684166666666667
37,危险化学品安全管理,2.117777777777778
38,企业安全生产管理实务,1.8344444444444445
39,建筑施工安全管理,2.1011111111111114
40,特种设备及高危作业安全管理,1.7502777777777778
41,提高消防安全意识 学习逃生自救能力,2.3669444444444445
42,决胜职场——思维导图助你轻松工作（入门篇）,0.6166666666666667
43,结构化思维的基本原理,0.13416666666666666
44,结构化思维的原则与工具,0.16694444444444442
45,结构化分析流程,0.15
46,结构化分析方法,0.06805555555555555
47,结构化分析环节,0.10027777777777779
48,变革时代必不可少的创新思维,3.7680555555555557
49,SYB创业培训第一步--创业意识,6.217777777777778
50,SYB创业培训第二步--企业构思,2.8669444444444445
51,SYB创业培训第三步--评估你的市场,2.2680555555555557
52,SYB创业培训第四步--企业人员组织,2.6680555555555556
53,SYB创业培训第五步--选择一种企业法律形式,1.600277777777778
54,SYB创业培训第六步--法律环境和你的责任,3.4333333333333336
55,SYB创业培训第七步--预测启动资金,1.8344444444444445
56,SYB创业培训第八步--制定利润计划,5.25
57,SYB创业培训第九步--判断你的企业能否生存及创业计划书的制作,11.266944444444444
58,SYB创业培训第十步--开办企业,7.633611111111111
59,ACCA F7 财务报告,17.366944444444446
60,北大AI公开课,1.9172222222222222
61,会计信息系统,10.000277777777777
62,行政职业能力提升,11.45111111111111
63,创办新企业,6.684444444444445
64,人工智能原理,16.718055555555555
65,统计信号处理,18.66777777777778
66,智能会计,10.000555555555556
67,现代礼仪与修养,4.300833333333333
68,现代礼仪,11.334444444444445
69,自我认知与情绪管理,6.867222222222223
70,财务报表分析,5.633333333333333
71,普通逻辑学,6.084444444444444
72,产业组织理论,8.133333333333333
73,提升职场工作效率的五大管理工具,0.48388888888888887
74,结构化表达,0.13444444444444445
75,消防安全管理,1.7166666666666668
76,新冠肺炎防护用品指南,0.3011111111111111
77,企业和个人消毒用品指南,0.26805555555555555
78,疫情时期如何保持积极乐观的工作状态,0.7511111111111111
79,新型冠状病毒心理防护50问,1.0666666666666667
80,新时代生活垃圾分类的重大意义与推行路径,2.1169444444444445
81,健康中国知识读本,6.517777777777778
82,建设工程招投标与合同管理,10.834444444444445
83,建筑概预算与工程量清单,12.268055555555556
84,R语言数据分析,15.451388888888888
85,绳索救助技术基础,5.133611111111112
86,健康管理概念,1.5502777777777779
87,心理健康,3.7672222222222222
