price,publisher,title
¥41.10,[日]东野圭吾 著，新经典 出品,东野圭吾：白夜行（易烊千玺、孟非推荐，东野圭吾作品无冕之王）
¥23.00,(法)安托万·德·圣埃克苏佩里 著，李继宏 译，果麦文化 出品,小王子（畅销300万册，作者基金会官方认证简体中文版）【果麦经典】
¥19.30,余华,活着（荣获中国版权金奖.作品奖版本，销量逾千万册）
¥87.10,刘慈欣,三体：全三册 刘慈欣代表作，亚洲首部“雨果奖”获奖作品！
¥39.00,钱钟书　著,围城
¥18.70,黄仁宇,万历十五年 一本好书 腾讯视频栏目推荐
¥31.50,（美）加·泽文 Gabrielle Zevin 著；孙仲旭、李玉瑶 译；读客文化 出品,岛上书店（李现推荐，每个人的生命中，都有无比艰难的那一年，将人生变得美好而辽阔。加·泽文感动全球千万读者的治愈小说！）
¥33.70,周国平,我喜欢生命本来的样子(周国平经典散文作品集)
¥148.50,乔安娜柯尔　著 布鲁斯迪根 图　施芳　译,神奇校车·桥梁书版（全20册）
¥37.40,郑利强 段虹(绘) 步印童书 出品,我的第一本地理启蒙书
¥18.80,（日）太宰治　著，杨伟　译,人间失格（日本小说家太宰治的自传体小说，李现推荐）
¥34.70,（荷）阿兰德·丹姆  著，（荷）亚历克斯·沃尔夫  绘，漆仰平，爱桐  译,小熊和最好的爸爸（全7册）
¥27.70,贾平凹 著 时代华语 出品,自在独行 贾平凹的独行世界（畅销300万册的国民精神读本，中国作家协会推荐精读）
¥73.50,姜自霞,魔法拼音国（套装 共7册）
¥42.00,"张嘉佳 著,博集天卷 出品",云边有个小卖部（陆定昊诚挚推荐，随书附赠云边镇四季明信片和张嘉佳作词单曲彩蛋）
¥74.50,路遥 著，新经典 出品,【特例品不参加促销】平凡的世界：全三册（故事里的中国推荐，八年级下册自主阅读推荐）
¥46.30,戴维·伽特森,雪落香杉树 (福克纳奖得主，全球畅销500万册)
¥27.30,戴尔·卡耐基 著，陶曚 译，果麦文化 出品,人性的弱点（薛之谦推荐，改变股神巴菲特的一生，畅销200万册）【果麦经典】
¥75.00,张嘉骅,少年读史记（套装全5册）
¥148.50,"(美)乔安娜柯尔 著 ,(美)布鲁斯·迪根 图",神奇校车·图画书版（全12册，新增科学博览会1册）
¥28.00,大冰 著，博集天卷 出品,我不（大冰作品。十个月狂销200万册，不容错过的奇书！）
